鄂尔多斯市通惠供热燃气集团有限公司,152702000000398,鄂尔多斯市康巴什新区乌兰木伦大街,125700万人民币元
嵊州宾馆有限公司,330683000050494,嵊州市剡湖街道北艇路218号,3500万元人民币
天津市松江生态产业有限公司,120000000003083,天津市津南区八里台镇八里台村（农业高新技术开发区内）,5000万人民币
南京汤山旅游发展有限公司,320121000012746,南京市江宁区汤山街道汤山大道18号,10000万元人民币
常州国际机场集团有限公司,320400000039275,通江南路258号,30000万元人民币
苏州高新污水处理有限公司,320512000000814,苏州高新区浒关工业园,30000万元人民币
淮安市康嘉实业有限公司,320891000000212,淮安经济技术开发区富誉路5号,150000万元人民币
武汉四方交通物流有限责任公司,420112000045587,武汉市东西湖区东西湖大道21号（8）,"38,800万人民币元"
福建漳龙集团有限公司,350600100018946,福建省漳州市芗城区胜利东路3号漳州发展广场16、17层,382850.0万人民币
武汉新能实业发展有限公司,420100000179537,江岸区建设大道６１８号信合大厦２０楼,"50,000万人民币元"
,,,
寿光市金海投资开发有限公司,370783200017940,寿光市商务小区5号楼A座,20000万元人民币
昆明产业开发投资有限责任公司,530100000006014,昆明市青年路448号华尔顿大厦5-6层,100305.08万人民币
汝城县水电有限责任公司,431026000003049,汝城县城关镇文化路3号,29314.0万人民币
北京鸿仪四方辐射技术股份有限公司,110112006286593,北京市通州区工业开发区广利街18号,3085.36万元人民币
株洲市国有资产投资控股集团有限公司,430200000003555,株洲市天元区黄河南路455号,100000.0万人民币
山东泰丰矿业集团有限公司,370000018071750,新泰市经济开发区,4480万元人民币
绍兴市柯桥区国有资产投资经营有限公司,330621000191941,柯桥鉴湖路29号,8000万元人民币
扬州化工产业投资发展有限公司,321081000004961,仪征市真州镇万年南路9号,171813.12万元人民币
