公司名,城,注册号
江苏邗建集团万达市政工程有限公司,江苏,321027000004199
江苏金鑫建材有限公司,江苏,321300000020037
江苏铜枣实业发展有限公司,江苏,321081000082976
江苏飞达钻头股份有限公司,江苏,321100000092363
江苏鹿港科技股份有限公司,江苏,320582000054425
江苏龙腾坤鑫建设发展有限公司,江苏,321088000029784
江阴市公有资产经营有限公司,江苏,320281000009467
泗洪光发彩印包装有限公司,江苏,321324000032366
泰凌医药（江苏）有限公司,江苏,321200400012634
泰州三福重工集团有限公司,江苏,321200000016875
泰州东星精密机器有限公司,江苏,321200400004482
泰州凤城河建设发展有限公司,江苏,321200000003348
泰州华诚医学投资集团有限公司,江苏,321200000018081
泰州市三泰船业有限公司,江苏,321203000000603
泰州市新滨江开发有限责任公司,江苏,321200000001491
泰州市港城驾驶员培训有限公司,江苏,321203000045413
泰州市鑫海投资有限公司,江苏,321202000003369
泰州新生源生物医药有限公司,江苏,321200400009964
泰州金泰环保热电有限公司,江苏,321200000002062
洪泽县现代新农村投资发展有限公司,江苏,320829000042883
海安利泰水务投资发展有限公司,江苏,320621000248397
海安县交通建设投资有限公司,江苏,320621000001474
海安县区域供水有限公司,江苏,320621000001101
海安县广播电视信息网络有限公司,江苏,320621000003343
涟水县涟缘水务有限公司,江苏,320826000002226
淮安园兴投资有限公司,江苏,320804000001374
淮安市交通控股有限公司,江苏,320800000003908
淮安市兴淮农村经济发展有限公司,江苏,320803000073960
淮安市华盛园林建设有限公司,江苏,320800000062254
淮安市尧塘装饰工程有限公司,江苏,320802000033938
淮安市康嘉实业有限公司,江苏,320891000000212
淮安开发物流有限公司,江苏,320891000025445
淮安恒兴综合大市场开发有限公司,江苏,320804000080354
淮安新城投资开发有限公司,江苏,320800000054617
淮安民用机场有限责任公司,江苏,320800000055945
淮安软件园管理发展有限公司,江苏,320891000009025
溧阳市城东农业科技有限公司,江苏,320481000071959
申环电缆科技有限公司,江苏,320282400009037
盐城南洋经济发展实业有限公司,江苏,320902000013226
盐城市大纵湖湖区资源开发有限公司,江苏,320928000061254
盐城市瀛洲宾馆有限公司,江苏,320902000013793
盐城市盐都交通建设发展有限公司,江苏,320928000066223
盱眙县天源水务有限公司,江苏,320830000065169
红豆集团有限公司,江苏,320205000064887
苏宁云商集团股份有限公司,江苏,320000000035248
苏州华东镀膜玻璃有限公司,江苏,320500400000901
苏州历史文化名城保护集团有限公司,江苏,320503000000368
苏州同里国际旅游开发有限公司,江苏,320584400000104
苏州天沃科技股份有限公司,江苏,320582000038079
苏州市金桥汽车产业园管理有限公司,江苏,320506000264211
苏州德胜东弇建设发展有限公司,江苏,320585000006027
苏州新区新宁自来水发展有限公司,江苏,320512000006216
苏州新区高新技术产业股份有限公司,江苏,320000000009807
苏州松鹤楼饮食文化有限公司,江苏,320500000028710
苏州汾湖投资集团有限公司,江苏,320584000082572
苏州沙家浜旅游发展有限公司,江苏,320581000008980
苏州漕湖科技发展股份有限公司,江苏,320507000003357
